"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
10.110.10.219,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.219,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.10.219,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.110.10.219,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.219,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.219,"91353","91353","5","Vuln","Microsoft .NET Framework Security Update April 2017",,,"4 days ago"
10.110.10.219,"91319","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.219,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.219,"91311","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.219,"90977","90977","3","Vuln","Microsoft .Net Framework Denial of Service Vulnerability (MS14-053)",,,"4 days ago"
10.110.10.219,"91254","91254","4","Vuln","Microsoft Windows .NET Framework Information Disclosure Vulnerability (MS16-091)",,,"4 days ago"
10.110.10.219,"91167","91167","4","Vuln","Microsoft .NET Framework Denial of Service And Information Disclosure Vulnerabilities (MS16-019)",,,"4 days ago"
10.110.10.219,"90772","90772","4","Vuln","Microsoft Windows Color Control Panel Remote Code Execution Vulnerability (MS12-012)",,,"4 days ago"
10.110.10.219,"370187","370187","4","Vuln","IBM Domino GIF Processing Multiple Vulnerabilities (swg21969050)",,,"4 days ago"
10.110.10.219,"370188","370188","4","Vuln","IBM Domino Multiple Vulnerabilities (swg21883245)",,,"4 days ago"
10.110.10.219,"90752","90752","4","Vuln","Microsoft  Windows Mail and Windows Meeting Space Remote Code Execution Vulnerability (MS11-085)",,,"4 days ago"
10.110.10.219,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.219,"91312","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.219,"91314","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.6.16,"236192","236192","4","Vuln","Red Hat Update for kernel (RHSA-2016:2766)",,,"4 days ago"
10.110.6.16,"236206","236206","4","Vuln","Red Hat Update for Sudo Security (RHSA-2016:2872)",,,"4 days ago"
10.110.6.16,"236189","236189","4","Vuln","Red Hat Update for policycoreutils (RHSA-2016:2702)",,,"4 days ago"
10.110.6.16,"236139","236139","4","Vuln","Red Hat Update for bind (RHSA-2016:2141)",,,"4 days ago"
10.110.6.16,"236126","236126","4","Vuln","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)",,,"4 days ago"
10.110.6.16,"236229","236229","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0036)",,,"4 days ago"
10.110.6.16,"236231","236231","4","Vuln","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)",,,"4 days ago"
10.110.6.16,"236315","236315","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0892)",,,"4 days ago"
10.110.6.16,"236267","236267","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0293)",,,"4 days ago"
10.110.6.16,"236249","236249","4","Vuln","Red Hat Update for mysql Security (RHSA-2017:0184)",,,"4 days ago"
10.110.6.16,"236233","236233","4","Vuln","Red Hat Update for Bind Security (RHSA-2017:0063)",,,"4 days ago"
10.110.6.16,"236122","236122","4","Vuln","Red Hat Update for bind (RHSA-2016:2093)",,,"4 days ago"
10.110.6.16,"236108","236108","4","Vuln","Red Hat Update for kernel (RHSA-2016:2006)",,,"4 days ago"
10.110.6.16,"236040","236040","4","Vuln","Red Hat Update for kernel (RHSA-2016:1406)",,,"4 days ago"
10.110.6.16,"236029","236029","4","Vuln","Red Hat Update for libxml2 (RHSA-2016:1292)",,,"4 days ago"
10.110.6.16,"123959","123959","4","Vuln","Red Hat Update for openssl security  (RHSA-2016:0996)",,,"4 days ago"
10.110.6.16,"124624","124624","5","Vuln","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)",,,"4 days ago"
10.110.6.16,"236058","236058","4","Vuln","Red Hat Update for libtiff (RHSA-2016:1547)",,,"4 days ago"
10.110.6.16,"236080","236080","4","Vuln","Red Hat Update for kernel (RHSA-2016:1664)",,,"4 days ago"
10.110.6.16,"236098","236098","4","Vuln","Red Hat Update for bind (RHSA-2016:1944)",,,"4 days ago"
10.110.6.16,"236095","236095","4","Vuln","Red Hat Update for openssl security (RHSA-2016:1940)",,,"4 days ago"
10.110.6.16,"236088","236088","4","Vuln","Red Hat Update for libarchive (RHSA-2016:1850)",,,"4 days ago"
10.110.6.16,"236082","236082","4","Vuln","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )",,,"4 days ago"
10.110.6.16,"123660","123660","3","Vuln","Red Hat Update for nss (RHSA-2015:1185)",,,"4 days ago"
10.110.7.1,"236206","236206","4","Vuln","Red Hat Update for Sudo Security (RHSA-2016:2872)",,,"4 days ago"
10.110.7.1,"236192","236192","4","Vuln","Red Hat Update for kernel (RHSA-2016:2766)",,,"4 days ago"
10.110.7.1,"236189","236189","4","Vuln","Red Hat Update for policycoreutils (RHSA-2016:2702)",,,"4 days ago"
10.110.7.1,"236139","236139","4","Vuln","Red Hat Update for bind (RHSA-2016:2141)",,,"4 days ago"
10.110.7.1,"236229","236229","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0036)",,,"4 days ago"
10.110.7.1,"236231","236231","4","Vuln","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)",,,"4 days ago"
10.110.7.1,"236315","236315","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0892)",,,"4 days ago"
10.110.7.1,"236267","236267","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0293)",,,"4 days ago"
10.110.7.1,"236249","236249","4","Vuln","Red Hat Update for mysql Security (RHSA-2017:0184)",,,"4 days ago"
10.110.7.1,"236233","236233","4","Vuln","Red Hat Update for Bind Security (RHSA-2017:0063)",,,"4 days ago"
10.110.7.1,"236126","236126","4","Vuln","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)",,,"4 days ago"
10.110.7.1,"236122","236122","4","Vuln","Red Hat Update for bind (RHSA-2016:2093)",,,"4 days ago"
10.110.7.1,"236058","236058","4","Vuln","Red Hat Update for libtiff (RHSA-2016:1547)",,,"4 days ago"
10.110.7.1,"236040","236040","4","Vuln","Red Hat Update for kernel (RHSA-2016:1406)",,,"4 days ago"
10.110.7.1,"236029","236029","4","Vuln","Red Hat Update for libxml2 (RHSA-2016:1292)",,,"4 days ago"
10.110.7.1,"123959","123959","4","Vuln","Red Hat Update for openssl security  (RHSA-2016:0996)",,,"4 days ago"
10.110.7.1,"236080","236080","4","Vuln","Red Hat Update for kernel (RHSA-2016:1664)",,,"4 days ago"
10.110.7.1,"236082","236082","4","Vuln","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )",,,"4 days ago"
10.110.7.1,"236108","236108","4","Vuln","Red Hat Update for kernel (RHSA-2016:2006)",,,"4 days ago"
10.110.7.1,"236098","236098","4","Vuln","Red Hat Update for bind (RHSA-2016:1944)",,,"4 days ago"
10.110.7.1,"236095","236095","4","Vuln","Red Hat Update for openssl security (RHSA-2016:1940)",,,"4 days ago"
10.110.7.1,"236088","236088","4","Vuln","Red Hat Update for libarchive (RHSA-2016:1850)",,,"4 days ago"
10.110.7.1,"124624","124624","5","Vuln","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)",,,"4 days ago"
10.110.8.152,"236215","236215","4","Vuln","Red Hat Update for gstreamer-plugins Security (RHSA-2016:2974)",,,"4 days ago"
10.110.8.152,"236206","236206","4","Vuln","Red Hat Update for Sudo Security (RHSA-2016:2872)",,,"4 days ago"
10.110.8.152,"236192","236192","4","Vuln","Red Hat Update for kernel (RHSA-2016:2766)",,,"4 days ago"
10.110.8.152,"236189","236189","4","Vuln","Red Hat Update for policycoreutils (RHSA-2016:2702)",,,"4 days ago"
10.110.8.152,"236216","236216","4","Vuln","Red Hat Update for gstreamer-plugins Security (RHSA-2016:2975)",,,"4 days ago"
10.110.8.152,"236229","236229","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0036)",,,"4 days ago"
10.110.8.152,"236315","236315","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0892)",,,"4 days ago"
10.110.8.152,"236267","236267","4","Vuln","Red Hat Update for Kernel Security (RHSA-2017:0293)",,,"4 days ago"
10.110.8.152,"236249","236249","4","Vuln","Red Hat Update for mysql Security (RHSA-2017:0184)",,,"4 days ago"
10.110.8.152,"236233","236233","4","Vuln","Red Hat Update for Bind Security (RHSA-2017:0063)",,,"4 days ago"
10.110.8.152,"236139","236139","4","Vuln","Red Hat Update for bind (RHSA-2016:2141)",,,"4 days ago"
10.110.8.152,"236126","236126","4","Vuln","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)",,,"4 days ago"
10.110.8.152,"236058","236058","4","Vuln","Red Hat Update for libtiff (RHSA-2016:1547)",,,"4 days ago"
10.110.8.152,"236043","236043","4","Vuln","Red Hat Update for httpd (RHSA-2016:1421) (HTTPoxy)",,,"4 days ago"
10.110.8.152,"236040","236040","4","Vuln","Red Hat Update for kernel (RHSA-2016:1406)",,,"4 days ago"
10.110.8.152,"236029","236029","4","Vuln","Red Hat Update for libxml2 (RHSA-2016:1292)",,,"4 days ago"
10.110.8.152,"236080","236080","4","Vuln","Red Hat Update for kernel (RHSA-2016:1664)",,,"4 days ago"
10.110.8.152,"236088","236088","4","Vuln","Red Hat Update for libarchive (RHSA-2016:1850)",,,"4 days ago"
10.110.8.152,"236122","236122","4","Vuln","Red Hat Update for bind (RHSA-2016:2093)",,,"4 days ago"
10.110.8.152,"236108","236108","4","Vuln","Red Hat Update for kernel (RHSA-2016:2006)",,,"4 days ago"
10.110.8.152,"236098","236098","4","Vuln","Red Hat Update for bind (RHSA-2016:1944)",,,"4 days ago"
10.110.8.152,"236095","236095","4","Vuln","Red Hat Update for openssl security (RHSA-2016:1940)",,,"4 days ago"
10.110.8.152,"123959","123959","4","Vuln","Red Hat Update for openssl security  (RHSA-2016:0996)",,,"4 days ago"
10.110.4.92,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"4 days ago"
10.110.4.92,"100309","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"4 days ago"
10.110.4.92,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.4.92,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.4.92,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.4.92,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.110.4.92,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.4.92,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.110.4.92,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.4.92,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.4.92,"91339","91339","4","Vuln","Microsoft IIS Server XSS Elevation of Privilege Vulnerability (MS17-016)",,,"4 days ago"
10.110.4.92,"370341","370341","5","Vuln","Mozilla Firefox Integer Overflow Vulnerability (MFSA2017-08)",,,"4 days ago"
10.110.4.92,"370325","370325","5","Vuln","Mozilla Firefox Multiple Vulnerabilities (MFSA2017-05,MFSA2017-06)",,,"4 days ago"
10.110.4.92,"121372","121372","4","Vuln","Multiple PuTTY Products (PuTTY, WinSCP, FileZilla) Security Vulnerabilities",,,"4 days ago"
10.110.4.92,"91314","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.4.92,"91311","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.4.92,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.4.92,"91312","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.4.92,"100302","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"4 days ago"
10.110.4.92,"91319","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.4.92,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.4.92,"370299","370299","5","Vuln","Cisco WebEx Extension For Microsoft Internet Explorer Remote Code Execution Vulnerability (cisco-sa-20170124-webex)",,,"4 days ago"
10.110.4.92,"370289","370289","5","Vuln","Mozilla Firefox Multiple Vulnerabilities (MFSA2017-01,MFSA2017-02)",,,"4 days ago"
10.110.4.92,"90828","90828","4","Vuln","Microsoft Windows Common Controls Remote Code Execution Vulnerability (MS12-060)",,,"4 days ago"
10.110.4.113,"124567","123168","5","Vuln","Oracle Java SE Critical Patch Update - January 2015",,,"9 days ago"
10.110.4.113,"124567","122362","5","Vuln","Oracle Java SE Critical Patch Update - July 2014",,,"9 days ago"
10.110.4.113,"124567","122741","5","Vuln","Oracle Java SE Critical Patch Update - October 2014",,,"9 days ago"
10.110.4.113,"124567","124169","4","Vuln","Oracle Java SE Critical Patch Update - October 2015",,,"9 days ago"
10.110.4.113,"124567","124567","4","Vuln","Oracle Java SE Critical Patch Update - January 2016",,,"9 days ago"
10.110.4.113,"124567","123714","4","Vuln","Oracle Java SE Critical Patch Update - July 2015",,,"9 days ago"
10.110.4.113,"124567","123519","4","Vuln","Oracle Java SE Critical Patch Update - April 2015",,,"9 days ago"
10.110.4.113,"124567","121515","4","Vuln","Oracle Java SE Critical Patch Update - October 2013",,,"9 days ago"
10.110.4.113,"124567","121712","4","Vuln","Oracle Java SE Critical Patch Update - January 2014",,,"9 days ago"
10.110.4.113,"124567","122007","4","Vuln","Oracle Java SE Critical Patch Update - April 2014",,,"9 days ago"
10.110.4.113,"121279","121279","5","Vuln","Oracle Java SE Critical Patch Update - June 2013",,,"9 days ago"
10.110.4.113,"121279","121061","5","Vuln","Oracle Java SE Critical Patch Update - April 2013",,,"9 days ago"
10.110.4.113,"121279","120970","5","Vuln","Oracle Java SE JVM 2D Subcomponent Remote Code Execution Vulnerability (Oracle Security Alert for CVE-2013-1493)",,,"9 days ago"
10.110.4.113,"370280","370280","5","Vuln","Oracle Java SE Critical Patch Update - January 2017",,,"9 days ago"
10.110.4.113,"370280","370161","5","Vuln","Oracle Java SE Critical Patch Update - October 2016",,,"9 days ago"
10.110.4.113,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"9 days ago"
10.110.4.113,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"9 days ago"
10.110.4.113,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"9 days ago"
10.110.4.113,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"9 days ago"
10.110.4.113,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"9 days ago"
10.110.4.113,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"9 days ago"
10.110.4.113,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"9 days ago"
10.110.4.113,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"9 days ago"
10.110.4.113,"370341","370341","5","Vuln","Mozilla Firefox Integer Overflow Vulnerability (MFSA2017-08)",,,"9 days ago"
10.110.4.113,"370325","370325","5","Vuln","Mozilla Firefox Multiple Vulnerabilities (MFSA2017-05,MFSA2017-06)",,,"9 days ago"
10.110.4.113,"370289","370289","5","Vuln","Mozilla Firefox Multiple Vulnerabilities (MFSA2017-01,MFSA2017-02)",,,"9 days ago"
10.110.4.113,"124688","124688","5","Practice","Oracle Java Input Validation Code Execution Vulnerability (Oracle Security Alert for CVE-2016-0603)",,,"9 days ago"
10.110.4.113,"370087","370087","4","Vuln","Oracle Java SE Critical Patch Update - July 2016",,,"9 days ago"
10.110.4.113,"370299","370299","5","Vuln","Cisco WebEx Extension For Microsoft Internet Explorer Remote Code Execution Vulnerability (cisco-sa-20170124-webex)",,,"9 days ago"
10.110.4.113,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"9 days ago"
10.110.4.113,"370338","370338","4","Vuln","Adobe Shockwave Player Privilege Escalation Vulnerablity (APSB17-08)",,,"9 days ago"
10.110.4.113,"124882","124882","4","Vuln","Oracle Java SE Critical Patch Update - April 2016",,,"9 days ago"
10.110.4.113,"91333","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"9 days ago"
10.110.4.113,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"9 days ago"
10.110.10.69,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.10.69,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.10.69,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.110.10.69,"91333","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"4 days ago"
10.110.10.69,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.69,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.69,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.69,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.69,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"4 days ago"
10.110.10.69,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.110.10.69,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.10.69,"91319","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.69,"91254","91254","4","Vuln","Microsoft Windows .NET Framework Information Disclosure Vulnerability (MS16-091)",,,"4 days ago"
10.110.10.69,"91141","91141","3","Vuln","Microsoft Improperly Issued Digital Certificates Spoofing Vulnerability (KB3123040)",,,"4 days ago"
10.110.10.69,"91108","91108","3","Vuln","Microsoft .Net Framework Multiple Vulnerabilities (MS15-118)",,,"4 days ago"
10.110.10.69,"90698","90698","5","Vuln","Microsoft Foundation Class Library Remote Code Execution Vulnerability (MS11-025)",,,"4 days ago"
10.110.10.69,"91312","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.69,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.69,"100302","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"4 days ago"
10.110.10.69,"91314","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.10.69,"91311","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.69,"121165","121165","4","Vuln","IBM Notes Arbitrary Java and Javascript Code Execution Vulnerability",,,"4 days ago"
10.110.10.77,"370280","123168","5","Vuln","Oracle Java SE Critical Patch Update - January 2015",,,"4 days ago"
10.110.10.77,"370280","124688","5","Practice","Oracle Java Input Validation Code Execution Vulnerability (Oracle Security Alert for CVE-2016-0603)",,,"4 days ago"
10.110.10.77,"370280","122362","5","Vuln","Oracle Java SE Critical Patch Update - July 2014",,,"4 days ago"
10.110.10.77,"370280","122741","5","Vuln","Oracle Java SE Critical Patch Update - October 2014",,,"4 days ago"
10.110.10.77,"370280","370280","5","Vuln","Oracle Java SE Critical Patch Update - January 2017",,,"4 days ago"
10.110.10.77,"370280","370161","5","Vuln","Oracle Java SE Critical Patch Update - October 2016",,,"4 days ago"
10.110.10.77,"370280","124882","4","Vuln","Oracle Java SE Critical Patch Update - April 2016",,,"4 days ago"
10.110.10.77,"370280","370087","4","Vuln","Oracle Java SE Critical Patch Update - July 2016",,,"4 days ago"
10.110.10.77,"370280","124567","4","Vuln","Oracle Java SE Critical Patch Update - January 2016",,,"4 days ago"
10.110.10.77,"370280","123714","4","Vuln","Oracle Java SE Critical Patch Update - July 2015",,,"4 days ago"
10.110.10.77,"370280","121712","4","Vuln","Oracle Java SE Critical Patch Update - January 2014",,,"4 days ago"
10.110.10.77,"370280","122007","4","Vuln","Oracle Java SE Critical Patch Update - April 2014",,,"4 days ago"
10.110.10.77,"370280","123519","4","Vuln","Oracle Java SE Critical Patch Update - April 2015",,,"4 days ago"
10.110.10.77,"370280","121515","4","Vuln","Oracle Java SE Critical Patch Update - October 2013",,,"4 days ago"
10.110.10.77,"370280","124169","4","Vuln","Oracle Java SE Critical Patch Update - October 2015",,,"4 days ago"
10.110.10.77,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.77,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.10.77,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.110.10.77,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.77,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.10.77,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.110.10.77,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.77,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.77,"91339","91339","4","Vuln","Microsoft IIS Server XSS Elevation of Privilege Vulnerability (MS17-016)",,,"4 days ago"
10.110.10.77,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.10.77,"91319","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.77,"91108","91108","3","Vuln","Microsoft .Net Framework Multiple Vulnerabilities (MS15-118)",,,"4 days ago"
10.110.10.77,"91012","91012","4","Vuln","Microsoft Windows Components Directory Traversal Information Disclosure Vulnerability (MS15-004)",,,"4 days ago"
10.110.10.77,"115185","115185","3","Vuln","VMware vCenter Converter Standalone Command Injection Vulnerability (VMSA-2014-0010) (Shellshock)",,,"4 days ago"
10.110.10.77,"91254","91254","4","Vuln","Microsoft Windows .NET Framework Information Disclosure Vulnerability (MS16-091)",,,"4 days ago"
10.110.10.77,"91312","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.77,"91314","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.10.77,"91311","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.77,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.77,"121279","121279","5","Vuln","Oracle Java SE Critical Patch Update - June 2013",,,"4 days ago"
10.110.10.35,"370280","123168","5","Vuln","Oracle Java SE Critical Patch Update - January 2015",,,"2 days ago"
10.110.10.35,"370280","124688","5","Practice","Oracle Java Input Validation Code Execution Vulnerability (Oracle Security Alert for CVE-2016-0603)",,,"2 days ago"
10.110.10.35,"370280","122362","5","Vuln","Oracle Java SE Critical Patch Update - July 2014",,,"2 days ago"
10.110.10.35,"370280","122741","5","Vuln","Oracle Java SE Critical Patch Update - October 2014",,,"2 days ago"
10.110.10.35,"370280","370280","5","Vuln","Oracle Java SE Critical Patch Update - January 2017",,,"2 days ago"
10.110.10.35,"370280","370161","5","Vuln","Oracle Java SE Critical Patch Update - October 2016",,,"2 days ago"
10.110.10.35,"370280","124882","4","Vuln","Oracle Java SE Critical Patch Update - April 2016",,,"2 days ago"
10.110.10.35,"370280","370087","4","Vuln","Oracle Java SE Critical Patch Update - July 2016",,,"2 days ago"
10.110.10.35,"370280","124567","4","Vuln","Oracle Java SE Critical Patch Update - January 2016",,,"2 days ago"
10.110.10.35,"370280","123714","4","Vuln","Oracle Java SE Critical Patch Update - July 2015",,,"2 days ago"
10.110.10.35,"370280","121712","4","Vuln","Oracle Java SE Critical Patch Update - January 2014",,,"2 days ago"
10.110.10.35,"370280","122007","4","Vuln","Oracle Java SE Critical Patch Update - April 2014",,,"2 days ago"
10.110.10.35,"370280","123519","4","Vuln","Oracle Java SE Critical Patch Update - April 2015",,,"2 days ago"
10.110.10.35,"370280","121515","4","Vuln","Oracle Java SE Critical Patch Update - October 2013",,,"2 days ago"
10.110.10.35,"370280","124169","4","Vuln","Oracle Java SE Critical Patch Update - October 2015",,,"2 days ago"
10.110.10.35,"121279","121279","5","Vuln","Oracle Java SE Critical Patch Update - June 2013",,,"2 days ago"
10.110.10.35,"121279","121061","5","Vuln","Oracle Java SE Critical Patch Update - April 2013",,,"2 days ago"
10.110.10.35,"121279","120970","5","Vuln","Oracle Java SE JVM 2D Subcomponent Remote Code Execution Vulnerability (Oracle Security Alert for CVE-2013-1493)",,,"2 days ago"
10.110.10.35,"121279","120832","5","Vuln","Oracle Java SE Critical Patch Update - February 2013",,,"2 days ago"
10.110.10.35,"121279","120879","4","Vuln","Oracle Java SE Critical Patch Update - February 2013 Special Update",,,"2 days ago"
10.110.10.35,"120604","120604","5","Vuln","Oracle Java SE Critical Patch Update - October 2012",,,"2 days ago"
10.110.10.35,"120604","120443","4","Vuln","Oracle Java Runtime Environment Remote Code Execution Vulnerability",,,"2 days ago"
10.110.10.35,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"2 days ago"
